id;created_at;updated_at;loteDesbloqueioId;operacaoId;documento;saldo;desbloqueado;responsavelRetornoId;responsavelRetornoNome;responsavelRetornoUnidadeId;responsavelRetornoUnidadeSigla
1735;;;60;187788;2019NE000440;1059143.74;;;;0;
1736;;;60;187927;2019NE001198;0.12;;;;0;
1737;;;60;187315;2019NE000432;65493.76;;;;0;
1738;;;60;187314;2019NE001197;0.7;;;;0;
